flat_url,image_url,image_name
https://www.house.kg/details/168488065d36a81c1ea85-62373509,,
https://www.house.kg/details/4007459664f00f9170889-47186080,,
https://www.house.kg/details/753225666444ff1a77548-13587718,,
https://www.house.kg/details/68435876638a31c55fe88-11256057,,
https://www.house.kg/details/291620866389df86d00c7-17994155,,
https://www.house.kg/details/88758186638960d8ac534-79766521,,
https://www.house.kg/details/22148476638894fb07d69-35906236,,
https://www.house.kg/details/282944066388295c85909-33271800,,
https://www.house.kg/details/707535666a8b0ca8be402-65862999,https://clck.ru/3AQXYx,21a482f449673d10b422ac69247d1239_1200x900.jpg
https://www.house.kg/details/966391366273daf8a1680-14855587,,
https://www.house.kg/details/225276666260fa309d042-17114110,,
https://www.house.kg/details/903002264e1f3b741c568-33867186,https://clck.ru/3AQXYx,364da485d78d2221fb04e52a49d3e7ec_1200x900.jpg
https://www.house.kg/details/372553866ecf6babce002-23564730,,
https://www.house.kg/details/8285711667e7875c43119-14149600,https://clck.ru/3AQXYx,1c5161a65c7e91823fdd78bdd56e9eba_1200x900.jpg
https://www.house.kg/details/64199066bf186a42ce16-48489650,https://clck.ru/3AQXYx,2312bce5331186034436fe1e367ad0e7_1200x900.jpg
https://www.house.kg/details/617821866516f6e7b2633-69662667,https://clck.ru/3AQXYx,e6da452634646ba77d09cb7c20eff785_1200x900.jpg
https://www.house.kg/details/447022266dc1ff23253f7-71718428,,
https://www.house.kg/details/318259666d1574835cf14-11858579,,
https://www.house.kg/details/317890866c3193fdb7378-22146734,,
https://www.house.kg/details/546171066c31394f35ec5-88415439,,
https://www.house.kg/details/208173866c30f7c52ce08-21849342,,
https://www.house.kg/details/692167166b3002560f481-60424147,,
https://www.house.kg/details/936287766b2ff41687ad8-67908494,,
https://www.house.kg/details/280295666b2edacbf0cd8-05257300,,
https://www.house.kg/details/37206766ab903832ecf0-75071927,,
https://www.house.kg/details/383672266750f45dca977-62470980,,
https://www.house.kg/details/5454660666d19d03ead90-94366167,,
https://www.house.kg/details/18785356667df50adec56-11357097,,
https://www.house.kg/details/1818843662942f3b3c911-05466528,,
https://www.house.kg/details/1119895663e61e0daf265-85315024,,
https://www.house.kg/details/7503563663df1d0710c53-51502795,,
https://www.house.kg/details/552694662d35c3d14d22-07404906,,
https://www.house.kg/details/9583080662944359236f9-64763347,,
https://www.house.kg/details/22883626623fc86060243-17753808,,
https://www.house.kg/details/1590926613e8cd6d30b8-08562035,,
https://www.house.kg/details/13791886613bc6b2b94f0-04088601,,
https://www.house.kg/details/613241366dead484504e0-25011202,,
https://www.house.kg/details/564369866db3c97852742-71592607,,
https://www.house.kg/details/96444366deadcb874dc6-26324328,,
https://www.house.kg/details/699427866de81edde61f7-83468503,,
https://www.house.kg/details/96655066c5fdda26ee88-30126519,,
https://www.house.kg/details/219670266cac93303e0f1-23376388,,
https://www.house.kg/details/7483636667eb68bc1970-60122747,,
https://www.house.kg/details/609463766b8bb438f26d5-53850603,,
https://www.house.kg/details/996901666640853b7a095-53145242,https://clck.ru/3AQXYx,46d1ec31a95688a33d94297270651b35_1200x900.jpg
https://www.house.kg/details/859929866e2e83018ec85-12958825,https://clck.ru/3AQXYx,fc0fdd01462e39aa80627bb5fbff1308_1200x900.jpg
https://www.house.kg/details/724254266e2b296aeb790-70837548,https://clck.ru/3AQXYx,da48f44c19d74f52a02fd4d4d4f98dee_1200x900.jpg
https://www.house.kg/details/226620966ecb952611c58-34511125,,
https://www.house.kg/details/4746096628d37a990bf2-32127945,https://clck.ru/3AQXYx,271771dfb8c2c629fe2efbac45866661_1200x900.jpg
